it	post	prior	lik	mu	sig
0	-125.082798717	-95.5886467139	-29.4941520029	100.03276317371217	9.098447702827773
1	-117.794401516	-87.3667716736	-30.4276298422	100.29278790167045	8.276260198791794
2	-117.742189335	-87.3189087682	-30.423280567	100.0133643183542	8.271473908256164
3	-108.877403942	-76.4266501167	-32.4507538254	100.27799629996737	7.1822480431008575
4	-108.877403942	-76.4266501167	-32.4507538254	100.27799629996737	7.1822480431008575
5	-108.877403942	-76.4266501167	-32.4507538254	100.27799629996737	7.1822480431008575
6	-108.877403942	-76.4266501167	-32.4507538254	100.27799629996737	7.1822480431008575
7	-105.114990671	-71.0808316767	-34.0341589938	98.63857878070895	6.647666199109029
8	-105.114990671	-71.0808316767	-34.0341589938	98.63857878070895	6.647666199109029
9	-97.9676016919	-55.0226917041	-42.9449099878	97.99861135217427	5.041852201845272
10	-97.9676016919	-55.0226917041	-42.9449099878	97.99861135217427	5.041852201845272
11	-98.7144710693	-55.1661526967	-43.5483183726	96.86438872201143	5.0561983011080125
12	-99.1941276475	-57.0328558266	-42.161271821	96.65354755143447	5.24286861409151
13	-99.1941276475	-57.0328558266	-42.161271821	96.65354755143447	5.24286861409151
14	-99.1511966032	-56.3914265603	-42.7597700429	96.55287868559483	5.178725687466953
15	-99.1511966032	-56.3914265603	-42.7597700429	96.55287868559483	5.178725687466953
16	-99.1511966032	-56.3914265603	-42.7597700429	96.55287868559483	5.178725687466953
17	-99.1511966032	-56.3914265603	-42.7597700429	96.55287868559483	5.178725687466953
18	-98.0614273813	-52.6804194864	-45.3810078949	97.57415212560332	4.8076249800764845
19	-98.0614273813	-52.6804194864	-45.3810078949	97.57415212560332	4.8076249800764845
20	-98.0614273813	-52.6804194864	-45.3810078949	97.57415212560332	4.8076249800764845
21	-98.7080399819	-58.502964264	-40.2050757179	98.14347523510557	5.389879457836368
22	-98.7080399819	-58.502964264	-40.2050757179	98.14347523510557	5.389879457836368
23	-98.7080399819	-58.502964264	-40.2050757179	98.14347523510557	5.389879457836368
24	-97.9533614281	-56.9316350394	-41.0217263887	99.35524969932459	5.232746535372945
25	-97.9533614281	-56.9316350394	-41.0217263887	99.35524969932459	5.232746535372945
26	-97.9533614281	-56.9316350394	-41.0217263887	99.35524969932459	5.232746535372945
27	-97.9533614281	-56.9316350394	-41.0217263887	99.35524969932459	5.232746535372945
28	-97.4005692765	-51.0875416132	-46.3130276633	99.75271614365424	4.648337192751282
29	-97.4005692765	-51.0875416132	-46.3130276633	99.75271614365424	4.648337192751282
30	-97.4005692765	-51.0875416132	-46.3130276633	99.75271614365424	4.648337192751282
31	-97.5959694138	-50.7891169618	-46.8068524519	98.77833284347632	4.6184947276155865
32	-99.342197321	-60.850533476	-38.491663845	98.93362085589764	5.6246363790371525
33	-99.342197321	-60.850533476	-38.491663845	98.93362085589764	5.6246363790371525
34	-97.3313651636	-52.6531241106	-44.678241053	99.82230805067051	4.8048954424980215
35	-97.6779122412	-55.8147805588	-41.8631316824	99.857699540622	5.121061087313096
36	-99.0181977133	-47.1905951635	-51.8276025498	98.07658097720935	4.258642547780662
37	-98.692004627	-47.072067909	-51.619936718	98.83046862749696	4.246789822336209
38	-98.692004627	-47.072067909	-51.619936718	98.83046862749696	4.246789822336209
39	-98.692004627	-47.072067909	-51.619936718	98.83046862749696	4.246789822336209
40	-98.692004627	-47.072067909	-51.619936718	98.83046862749696	4.246789822336209
41	-97.6243747112	-54.3077939939	-43.3165807173	100.9170596036643	4.970362430824967
42	-97.6243747112	-54.3077939939	-43.3165807173	100.9170596036643	4.970362430824967
43	-97.6243747112	-54.3077939939	-43.3165807173	100.9170596036643	4.970362430824967
44	-97.770331452	-54.4587942668	-43.3115371851	101.26374645394384	4.985462458118679
45	-97.770331452	-54.4587942668	-43.3115371851	101.26374645394384	4.985462458118679
46	-97.770331452	-54.4587942668	-43.3115371851	101.26374645394384	4.985462458118679
47	-97.770331452	-54.4587942668	-43.3115371851	101.26374645394384	4.985462458118679
48	-97.770331452	-54.4587942668	-43.3115371851	101.26374645394384	4.985462458118679
49	-97.770331452	-54.4587942668	-43.3115371851	101.26374645394384	4.985462458118679
50	-98.053519128	-50.264526482	-47.7889926459	101.56626796327012	4.566035679636921
51	-99.184197395	-48.6742926051	-50.5099047899	102.44868110235882	4.40701229194521
52	-98.1371064098	-51.020858285	-47.1162481248	101.88921540973476	4.641668859936159
53	-98.1371064098	-51.020858285	-47.1162481248	101.88921540973476	4.641668859936159
54	-97.5604748104	-52.7523839208	-44.8080908897	100.99913301763569	4.8148214235104865
55	-97.5604748104	-52.7523839208	-44.8080908897	100.99913301763569	4.8148214235104865
56	-97.5604748104	-52.7523839208	-44.8080908897	100.99913301763569	4.8148214235104865
57	-97.5604748104	-52.7523839208	-44.8080908897	100.99913301763569	4.8148214235104865
58	-97.5209821768	-51.3164750945	-46.2045070823	100.71061316101944	4.671230540884936
59	-97.4920095376	-50.4740313649	-47.0179781727	100.05700905976266	4.586986167921902
60	-97.4920095376	-50.4740313649	-47.0179781727	100.05700905976266	4.586986167921902
61	-97.5873045067	-50.4603904218	-47.1269140849	100.57149552097616	4.585622073616703
62	-97.5873045067	-50.4603904218	-47.1269140849	100.57149552097616	4.585622073616703
63	-97.5873045067	-50.4603904218	-47.1269140849	100.57149552097616	4.585622073616703
64	-97.5873045067	-50.4603904218	-47.1269140849	100.57149552097616	4.585622073616703
65	-97.5873045067	-50.4603904218	-47.1269140849	100.57149552097616	4.585622073616703
66	-97.4701767279	-54.1849218664	-43.2852548615	99.20162426639378	4.958075218071344
67	-97.8615782475	-49.9697399184	-47.8918383291	98.45004672946695	4.536557023279421
68	-97.8486088318	-49.0224696806	-48.8261391512	99.18747765946443	4.441829999493117
69	-97.8486088318	-49.0224696806	-48.8261391512	99.18747765946443	4.441829999493117
70	-97.8486088318	-49.0224696806	-48.8261391512	99.18747765946443	4.441829999493117
71	-98.5405576471	-47.832811116	-50.7077465311	98.3988472357104	4.322864143029649
72	-98.5405576471	-47.832811116	-50.7077465311	98.3988472357104	4.322864143029649
73	-98.5405576471	-47.832811116	-50.7077465311	98.3988472357104	4.322864143029649
74	-99.7557200904	-46.1722858592	-53.5834342311	97.83582017660628	4.156811617355175
75	-99.7557200904	-46.1722858592	-53.5834342311	97.83582017660628	4.156811617355175
76	-99.6649315423	-60.7179827412	-38.9469488011	97.74655463569557	5.611381305552189
77	-99.6649315423	-60.7179827412	-38.9469488011	97.74655463569557	5.611381305552189
78	-99.6649315423	-60.7179827412	-38.9469488011	97.74655463569557	5.611381305552189
79	-98.1562487954	-56.6718108215	-41.4844379739	98.27227454868991	5.2067641135805385
80	-98.7011076524	-58.2779779914	-40.4231296609	97.99195384413997	5.367380830578798
81	-98.7011076524	-58.2779779914	-40.4231296609	97.99195384413997	5.367380830578798
82	-98.7011076524	-58.2779779914	-40.4231296609	97.99195384413997	5.367380830578798
83	-98.7011076524	-58.2779779914	-40.4231296609	97.99195384413997	5.367380830578798
84	-98.7011076524	-58.2779779914	-40.4231296609	97.99195384413997	5.367380830578798
85	-98.7011076524	-58.2779779914	-40.4231296609	97.99195384413997	5.367380830578798
86	-98.7011076524	-58.2779779914	-40.4231296609	97.99195384413997	5.367380830578798
87	-98.7011076524	-58.2779779914	-40.4231296609	97.99195384413997	5.367380830578798
88	-97.8490191729	-52.9031230111	-44.9458961617	97.92054946999716	4.829895332549382
89	-97.8490191729	-52.9031230111	-44.9458961617	97.92054946999716	4.829895332549382
90	-97.8490191729	-52.9031230111	-44.9458961617	97.92054946999716	4.829895332549382
91	-97.8490191729	-52.9031230111	-44.9458961617	97.92054946999716	4.829895332549382
92	-98.1183860666	-51.1431386107	-46.9752474559	97.6541452390848	4.653896892508397
93	-98.1183860666	-51.1431386107	-46.9752474559	97.6541452390848	4.653896892508397
94	-98.5041260777	-54.8670205057	-43.637105572	97.09371314082942	5.026285082005938
95	-99.3516966303	-51.8526985659	-47.4989980644	96.1917404836662	4.724852888028069
96	-99.3516966303	-51.8526985659	-47.4989980644	96.1917404836662	4.724852888028069
97	-99.3516966303	-51.8526985659	-47.4989980644	96.1917404836662	4.724852888028069
98	-99.3516966303	-51.8526985659	-47.4989980644	96.1917404836662	4.724852888028069
99	-100.306793666	-49.0031365356	-51.3036571302	96.0078753089155	4.439896684998784
100	-100.78582276	-60.9063392094	-39.879483551	96.08700805934576	5.630216952370935
101	-100.78582276	-60.9063392094	-39.879483551	96.08700805934576	5.630216952370935
102	-100.566097519	-48.2008886478	-52.3652088709	96.07328898113101	4.359671896216653
103	-100.566097519	-48.2008886478	-52.3652088709	96.07328898113101	4.359671896216653
104	-98.7981512931	-54.6678822012	-44.1302690919	96.70168599172133	5.006371251557277
105	-98.8480741717	-53.6030817784	-45.2449923933	96.58718365548881	4.8998912092735765
106	-100.564605966	-54.827106456	-45.73749951	95.07503805794012	5.0222936770370215
107	-102.181355089	-63.2223866913	-38.958968398	95.52821567519122	5.86182170056708
108	-100.433986363	-55.1556921023	-45.2782942608	95.18673152646133	5.055152241664716
109	-100.433986363	-55.1556921023	-45.2782942608	95.18673152646133	5.055152241664716
110	-100.433986363	-55.1556921023	-45.2782942608	95.18673152646133	5.055152241664716
111	-100.433986363	-55.1556921023	-45.2782942608	95.18673152646133	5.055152241664716
112	-100.433986363	-55.1556921023	-45.2782942608	95.18673152646133	5.055152241664716
113	-100.433986363	-55.1556921023	-45.2782942608	95.18673152646133	5.055152241664716
114	-100.433986363	-55.1556921023	-45.2782942608	95.18673152646133	5.055152241664716
115	-100.433986363	-55.1556921023	-45.2782942608	95.18673152646133	5.055152241664716
116	-100.433986363	-55.1556921023	-45.2782942608	95.18673152646133	5.055152241664716
117	-99.4601738066	-57.6257908118	-41.8343829947	96.48898123701399	5.302162112617895
118	-100.960806488	-53.4249490821	-47.5358574061	94.817620263114	4.882077939640059
119	-100.960806488	-53.4249490821	-47.5358574061	94.817620263114	4.882077939640059
120	-100.960806488	-53.4249490821	-47.5358574061	94.817620263114	4.882077939640059
121	-100.960806488	-53.4249490821	-47.5358574061	94.817620263114	4.882077939640059
122	-100.960806488	-53.4249490821	-47.5358574061	94.817620263114	4.882077939640059
123	-101.603909367	-44.5586152726	-57.0452940947	97.15824915492647	3.995444558692834
124	-101.473068562	-43.9659407367	-57.5071278249	97.81214244510234	3.9361771051049854
125	-101.473068562	-43.9659407367	-57.5071278249	97.81214244510234	3.9361771051049854
126	-98.605314608	-58.0014908805	-40.6038237275	98.02418387156457	5.339732119484388
127	-98.605314608	-58.0014908805	-40.6038237275	98.02418387156457	5.339732119484388
128	-98.605314608	-58.0014908805	-40.6038237275	98.02418387156457	5.339732119484388
129	-98.605314608	-58.0014908805	-40.6038237275	98.02418387156457	5.339732119484388
130	-99.4905936332	-60.2702827137	-39.2203109195	97.7480455911529	5.566611302803075
131	-99.4905936332	-60.2702827137	-39.2203109195	97.7480455911529	5.566611302803075
132	-99.4905936332	-60.2702827137	-39.2203109195	97.7480455911529	5.566611302803075
133	-99.4905936332	-60.2702827137	-39.2203109195	97.7480455911529	5.566611302803075
134	-98.3625435447	-51.3454148556	-47.0171286892	97.2892486631572	4.67412451699273
135	-98.3625435447	-51.3454148556	-47.0171286892	97.2892486631572	4.67412451699273
136	-98.3625435447	-51.3454148556	-47.0171286892	97.2892486631572	4.67412451699273
137	-97.9888793062	-52.0534000118	-45.9354792944	97.72176780860804	4.744923032612129
138	-97.9888793062	-52.0534000118	-45.9354792944	97.72176780860804	4.744923032612129
139	-98.3835652199	-50.6594947459	-47.724070474	97.39347556510465	4.605532506023324
140	-98.2555222068	-50.9753596086	-47.2801625983	97.4942207366934	4.637118992290559
141	-98.2555222068	-50.9753596086	-47.2801625983	97.4942207366934	4.637118992290559
142	-98.2555222068	-50.9753596086	-47.2801625983	97.4942207366934	4.637118992290559
143	-100.728993564	-44.8238872349	-55.9051063288	97.81455360948648	4.021971754928037
144	-100.728993564	-44.8238872349	-55.9051063288	97.81455360948648	4.021971754928037
145	-97.7458183062	-56.0822484592	-41.663569847	99.44785160251676	5.1478078773585825
146	-97.7458183062	-56.0822484592	-41.663569847	99.44785160251676	5.1478078773585825
147	-97.7458183062	-56.0822484592	-41.663569847	99.44785160251676	5.1478078773585825
148	-98.4024466082	-49.971339078	-48.4311075302	97.55080980327415	4.536716939234
149	-98.4024466082	-49.971339078	-48.4311075302	97.55080980327415	4.536716939234
150	-97.6412498736	-52.4346342702	-45.2066156034	98.34400539187902	4.783046458455031
151	-97.936775926	-53.7700807578	-44.1666951682	97.81669810264039	4.916591107217438
152	-97.936775926	-53.7700807578	-44.1666951682	97.81669810264039	4.916591107217438
153	-99.0153841583	-56.9577989465	-42.0575852118	96.86541742483753	5.235362926088962
154	-99.0153841583	-56.9577989465	-42.0575852118	96.86541742483753	5.235362926088962
155	-99.0153841583	-56.9577989465	-42.0575852118	96.86541742483753	5.235362926088962
156	-99.0700082055	-48.2370504922	-50.8329577133	97.39924343023515	4.363288080652808
157	-99.0700082055	-48.2370504922	-50.8329577133	97.39924343023515	4.363288080652808
158	-99.0700082055	-48.2370504922	-50.8329577133	97.39924343023515	4.363288080652808
159	-98.2619513778	-56.1082126697	-42.1537387081	97.77661988450885	5.150404298409336
160	-98.2619513778	-56.1082126697	-42.1537387081	97.77661988450885	5.150404298409336
161	-98.9727667687	-57.0751643514	-41.8976024173	96.95935196672448	5.247099466575467
162	-98.9727667687	-57.0751643514	-41.8976024173	96.95935196672448	5.247099466575467
163	-98.9727667687	-57.0751643514	-41.8976024173	96.95935196672448	5.247099466575467
164	-98.9727667687	-57.0751643514	-41.8976024173	96.95935196672448	5.247099466575467
165	-99.0620028443	-59.3162972396	-39.7457056047	97.93482506777126	5.471212755394052
166	-99.0620028443	-59.3162972396	-39.7457056047	97.93482506777126	5.471212755394052
167	-99.0620028443	-59.3162972396	-39.7457056047	97.93482506777126	5.471212755394052
168	-99.0620028443	-59.3162972396	-39.7457056047	97.93482506777126	5.471212755394052
169	-99.0620028443	-59.3162972396	-39.7457056047	97.93482506777126	5.471212755394052
170	-97.8297860835	-56.5031820245	-41.326604059	99.60862556941848	5.189901233880672
171	-97.8297860835	-56.5031820245	-41.326604059	99.60862556941848	5.189901233880672
172	-97.8297860835	-56.5031820245	-41.326604059	99.60862556941848	5.189901233880672
173	-97.8297860835	-56.5031820245	-41.326604059	99.60862556941848	5.189901233880672
174	-97.8297860835	-56.5031820245	-41.326604059	99.60862556941848	5.189901233880672
175	-97.5734801882	-55.1197931241	-42.4536870641	100.17431152376399	5.051562343845701
176	-97.5734801882	-55.1197931241	-42.4536870641	100.17431152376399	5.051562343845701
177	-97.5734801882	-55.1197931241	-42.4536870641	100.17431152376399	5.051562343845701
