it	joined_post	joined_prior	joined_lik	shape_sp0	rate_sp0	shape_sp1	rate_sp1	mean_bm_sp0	mean_bm_sp1	sp1-sp0
0	-6094.96117076	-10.9164612519	-6084.04470951	3.67649492505	3.38471387414	5	5	1.08620552926	1.0	-0.0862055292592
10	-4071.72093323	-10.8508475677	-4060.87008566	5.48183899039	1.92311490834	5.22116073879	3.77895731932	2.85049997097	1.38164056844	-1.46885940253
20	-2621.7694433	-11.1853928305	-2610.58405047	8.08071668746	1.38373774248	7.74195584711	2.54411430803	5.83977471989	3.0430849049	-2.79668981499
30	-1793.88239384	-12.0524249819	-1781.82996885	15.1987905249	0.776936842821	10.2714701915	2.17364853999	19.5624530685	4.72545124131	-14.8370018272
40	-1075.5514197	-13.5036588284	-1062.04776087	21.1429161311	0.64154053872	19.5554275692	1.59330032529	32.9564771904	12.273535164	-20.6829420265
50	-525.952572894	-16.0063949246	-509.94617797	37.6230118795	0.382657091636	28.8012971924	1.15357936223	98.3204354547	24.9668970645	-73.3535383903
60	-157.109193621	-18.5243287134	-138.584864907	37.6230118795	0.382657091636	54.3522080428	0.782006399797	98.3204354547	69.5035335477	-28.816901907
70	-72.8543399908	-18.1092261173	-54.7451138734	37.6230118795	0.382657091636	50.5661813484	0.417007133947	98.3204354547	121.25975129	22.9393158348
80	-72.6889189061	-19.2474786411	-53.441440265	37.6230118795	0.382657091636	61.8940427268	0.471670993039	98.3204354547	131.222915211	32.9024797559
90	-71.6784588911	-18.0522650039	-53.6261938872	37.6230118795	0.382657091636	50.0452439656	0.368333382284	98.3204354547	135.869422574	37.5489871192
100	-71.5137397163	-17.1785313848	-54.3352083315	31.0889274391	0.329203232664	47.8890408692	0.374738587684	94.4368838288	127.793193557	33.3563097283
110	-73.9779678186	-17.049096151	-56.9288716676	26.5348219454	0.286614311532	51.2253411911	0.340780342541	92.5802406853	150.317770119	57.7375294336
120	-73.8978776355	-16.6329994429	-57.2648781926	29.9314450373	0.259699050159	43.6729014038	0.36254521786	115.25434929	120.461943097	5.20759380628
130	-74.9538373002	-17.9517012368	-57.0021360634	41.9463806867	0.371595073736	44.7227286836	0.372904204029	112.881961176	119.930878227	7.04891705072
140	-72.5941186905	-15.9715326825	-56.622586008	41.9463806867	0.371595073736	25.1123021184	0.181645226568	112.881961176	138.249171712	25.3672105356
150	-71.1099127518	-16.789576225	-54.3203365268	46.830271709	0.460086556226	28.2773908585	0.224609406578	101.785785903	125.895844209	24.1100583061
160	-71.1099127518	-16.789576225	-54.3203365268	46.830271709	0.460086556226	28.2773908585	0.224609406578	101.785785903	125.895844209	24.1100583061
170	-72.4715429586	-17.7178645129	-54.7536784457	55.9813116407	0.591929503104	28.2773908585	0.224609406578	94.5742885717	125.895844209	31.3215556377
180	-72.507686355	-18.0746385488	-54.4330478062	55.9813116407	0.591929503104	31.8216782278	0.248062397073	94.5742885717	128.280943034	33.7066544627
190	-73.8127518735	-19.2279901869	-54.5847616866	68.8021790127	0.6579693251	30.4760532274	0.240296583843	104.567456853	126.826826832	22.2593699796
200	-75.2238859727	-20.580997872	-54.6428881007	67.0978863696	0.632980325866	45.6110342622	0.364674042352	106.003115149	125.073432614	19.0703174654
210	-74.4735230722	-20.1137481016	-54.3597749706	67.0978863696	0.632980325866	40.9867089846	0.316501616098	106.003115149	129.499209166	23.4960940175
220	-72.4079307643	-17.386667238	-55.0212635263	40.0961134628	0.363944596634	40.9867089846	0.316501616098	110.170926657	129.499209166	19.3282825097
230	-74.2768009811	-17.7722604186	-56.5045405625	47.7746786557	0.507369552165	37.0152431812	0.321909076689	94.1615011225	114.986640209	20.8251390863
240	-72.2335434553	-15.9807252161	-56.2528182393	25.5147035672	0.278103263611	41.5642162002	0.346825410095	91.7454302258	119.841900249	28.0964700228
250	-73.5084960958	-18.6601727944	-54.8483233014	19.4742112629	0.189513047578	74.2889222931	0.545677620614	102.759211104	136.14067993	33.3814688267
