it	post	prior	lik	shape	rate	mean_bm
0	-3329.106905	0.121306131943	-3329.22821113	5	5	1.0
10	-2094.0799905	0.12611336754	-2094.20610387	6.17556582294	3.25905768127	1.89489307245
20	-1997.29130047	0.120054796249	-1997.41135527	7.50216784003	3.17064471358	2.36613323716
30	-1914.56283512	0.106826502862	-1914.66966162	10.7886487331	3.17064471358	3.40266718845
40	-1576.74053456	0.0949568932803	-1576.83549145	16.2421565563	2.84350627284	5.71201713583
50	-951.578335631	0.0964708812779	-951.674806512	19.4375086469	1.96571160942	9.88828094303
60	-593.137471163	0.0960628026756	-593.233533965	23.2873484861	1.47098313753	15.8311457773
70	-307.921196844	0.0972452872087	-308.018442131	26.6009930737	1.02573739692	25.9335314803
80	-104.270291819	0.100729764957	-104.371021584	27.3301050587	0.594587435327	45.9648210422
90	-45.3856634523	0.0996748770466	-45.4853383294	31.7720955267	0.459948185471	69.0775537992
100	-28.4010623532	0.100957316927	-28.5020196701	31.7720955267	0.326561452569	97.2928533871
110	-28.3648447905	0.0991092791233	-28.4639540696	36.6360653829	0.351579440748	104.204231354
120	-28.235776602	0.0995237095948	-28.3353003116	35.3155497006	0.346145165293	102.025257729
130	-28.4999045268	0.101343275094	-28.6012478018	31.3971990905	0.303171266336	103.56258187
140	-28.6145221595	0.0999454331183	-28.7144675927	34.5519150757	0.326543206998	105.811158632
150	-28.1655944092	0.0983253019591	-28.2639197112	38.2421681221	0.393465320559	97.1932369231
160	-27.9104774965	0.0964238248569	-28.0069013214	46.6731846372	0.462106401072	101.000948113
170	-29.1574873765	0.0973522830202	-29.2548396595	40.684772877	0.445587404496	91.3059311518
180	-27.9687896817	0.0968946075971	-28.0656842893	43.798962628	0.445587404496	98.2948848778
190	-28.122235068	0.097217767511	-28.2194528355	43.2666192379	0.418995541501	103.262719892
200	-28.3799992461	0.0946722750935	-28.4746715212	60.2429033589	0.573076781577	105.121870743
210	-27.8273714199	0.0950940727855	-27.9224654927	54.9370891787	0.546376540453	100.548038049
